year,openings_rate,quits_rate,layoffs_rate,covid_flag
2001,3.1916666666666664,2.2083333333333335,1.5583333333333333,False
2002,2.575,1.95,1.5,False
2003,2.4166666666666665,1.8166666666666667,1.55,False
2004,2.6916666666666664,1.9416666666666667,1.4916666666666665,False
2005,2.975,2.1083333333333334,1.4666666666666668,False
2006,3.25,2.1750000000000003,1.3666666666666665,False
2007,3.2916666666666665,2.091666666666667,1.4166666666666667,False
2008,2.6916666666666664,1.8499999999999999,1.5333333333333332,False
2009,1.875,1.3416666666666668,1.7333333333333334,False
2010,2.216666666666667,1.4249999999999998,1.425,False
2011,2.5500000000000003,1.4833333333333334,1.4000000000000001,False
2012,2.783333333333333,1.5333333333333332,1.3666666666666665,False
2013,2.908333333333333,1.675,1.2750000000000001,False
2014,3.3249999999999997,1.8333333333333333,1.2583333333333333,False
2015,3.775,1.9666666666666668,1.2750000000000001,False
2016,3.908333333333333,2.0833333333333335,1.2249999999999999,False
2017,4.0,2.1583333333333337,1.2249999999999999,False
2018,4.55,2.2583333333333333,1.2166666666666666,False
2019,4.5249999999999995,2.3166666666666664,1.2083333333333333,False
2020,4.283333333333333,2.0833333333333335,2.4,True
2021,6.375,2.7083333333333335,0.9666666666666667,True
2022,6.8500000000000005,2.7583333333333333,0.9583333333333334,False
2023,5.625,2.3666666666666667,1.0666666666666667,False
2024,4.6499999999999995,2.066666666666667,1.0583333333333333,False
2025,4.2749999999999995,2.0166666666666666,1.1166666666666667,False
