year,labor_share,covid_flag
1947,115.3125,False
1948,114.5215,False
1949,113.3435,False
1950,111.35675,False
1951,110.746,False
1952,112.357,False
1953,113.62575,False
1954,113.94875,False
1955,111.28399999999999,False
1956,114.70525,False
1957,114.65,False
1958,114.83500000000001,False
1959,113.374,False
1960,115.52825,False
1961,114.70675,False
1962,113.094,False
1963,112.2115,False
1964,111.00874999999999,False
1965,109.754,False
1966,109.69325,False
1967,110.51625,False
1968,110.54275,False
1969,112.836,False
1970,113.956,False
1971,111.55875,False
1972,111.4365,False
1973,112.35175000000001,False
1974,113.297,False
1975,110.138,False
1976,108.755,False
1977,108.89975,False
1978,109.489,False
1979,110.84675,False
1980,112.13775,False
1981,110.52924999999999,False
1982,112.62875,False
1983,109.2525,False
1984,108.42,False
1985,108.449,False
1986,109.821,False
1987,111.26225,False
1988,111.6685,False
1989,109.8785,False
1990,110.72325,False
1991,110.67125,False
1992,110.6665,False
1993,109.33449999999999,False
1994,107.655,False
1995,107.23825,False
1996,107.178,False
1997,107.37,False
1998,109.50200000000001,False
1999,109.50225,False
2000,111.6185,False
2001,111.7225,False
2002,108.68575,False
2003,107.25975,False
2004,106.40775,False
2005,104.423,False
2006,104.32775,False
2007,104.86375,False
2008,105.10775,False
2009,102.00475,False
2010,99.4995,False
2011,99.72149999999999,False
2012,99.45474999999999,False
2013,98.6385,False
2014,98.72575,False
2015,99.77025,False
2016,99.48675,False
2017,100.003,False
2018,99.83625,False
2019,100.00725,False
2020,102.28925,True
2021,100.33475,True
2022,97.92099999999999,False
2023,96.43175,False
2024,96.76725,False
2025,96.701,False
