year,median_tenure,interpolated,covid_flag
1983,5.0,False,False
1984,4.9,True,False
1985,4.8,True,False
1986,4.699999999999999,True,False
1987,4.6,False,False
1988,4.574999999999999,True,False
1989,4.55,True,False
1990,4.525,True,False
1991,4.5,False,False
1992,4.4,True,False
1993,4.3,True,False
1994,4.2,True,False
1995,4.1,True,False
1996,4.0,False,False
1997,3.8,True,False
1998,3.6,False,False
1999,3.55,True,False
2000,3.5,False,False
2001,3.6,True,False
2002,3.7,False,False
2003,3.85,True,False
2004,4.0,False,False
2005,4.0,True,False
2006,4.0,False,False
2007,4.05,True,False
2008,4.1,False,False
2009,4.25,True,False
2010,4.4,False,False
2011,4.5,True,False
2012,4.6,False,False
2013,4.6,True,False
2014,4.6,False,False
2015,4.4,True,False
2016,4.2,False,False
2017,4.2,True,False
2018,4.2,False,False
2019,4.15,True,False
2020,4.1,False,True
2021,4.1,True,True
2022,4.1,False,False
2023,4.0,True,False
2024,3.9,False,False
