year,period,value
1955,M01,60753.0
1955,M02,60727.0
1955,M03,60964.0
1955,M04,61515.0
1955,M05,61634.0
1955,M06,61781.0
1955,M07,62513.0
1955,M08,62797.0
1955,M09,62950.0
1955,M10,62991.0
1955,M11,63257.0
1955,M12,63684.0
1956,M01,63753.0
1956,M02,63518.0
1956,M03,63411.0
1956,M04,63614.0
1956,M05,63861.0
1956,M06,63820.0
1956,M07,63800.0
1956,M08,63972.0
1956,M09,64079.0
1956,M10,63975.0
1956,M11,63796.0
1956,M12,63910.0
1957,M01,63632.0
1957,M02,64257.0
1957,M03,64404.0
1957,M04,64047.0
1957,M05,63985.0
1957,M06,64196.0
1957,M07,64540.0
1957,M08,63959.0
1957,M09,64121.0
1957,M10,64046.0
1957,M11,63669.0
1957,M12,63922.0
1958,M01,63220.0
1958,M02,62898.0
1958,M03,62731.0
1958,M04,62631.0
1958,M05,62874.0
1958,M06,62730.0
1958,M07,62745.0
1958,M08,63012.0
1958,M09,63181.0
1958,M10,63475.0
1958,M11,63470.0
1958,M12,63549.0
1959,M01,63868.0
1959,M02,63684.0
1959,M03,64267.0
1959,M04,64768.0
1959,M05,64699.0
1959,M06,64849.0
1959,M07,65011.0
1959,M08,64844.0
1959,M09,64770.0
1959,M10,64911.0
1959,M11,64530.0
1959,M12,65341.0
1960,M01,65347.0
1960,M02,65620.0
1960,M03,64673.0
1960,M04,65959.0
1960,M05,66057.0
1960,M06,66168.0
1960,M07,65909.0
1960,M08,65895.0
1960,M09,66267.0
1960,M10,65632.0
1960,M11,66109.0
1960,M12,65778.0
1961,M01,65776.0
1961,M02,65588.0
1961,M03,65850.0
1961,M04,65374.0
1961,M05,65449.0
1961,M06,65993.0
1961,M07,65608.0
1961,M08,65852.0
1961,M09,65541.0
1961,M10,65919.0
1961,M11,66081.0
1961,M12,65900.0
1962,M01,66108.0
1962,M02,66538.0
1962,M03,66493.0
1962,M04,66372.0
1962,M05,66688.0
1962,M06,66670.0
1962,M07,66483.0
1962,M08,66968.0
1962,M09,67192.0
1962,M10,67114.0
1962,M11,66847.0
1962,M12,66947.0
1963,M01,67072.0
1963,M02,67024.0
1963,M03,67351.0
1963,M04,67642.0
1963,M05,67615.0
1963,M06,67649.0
1963,M07,67905.0
1963,M08,67908.0
1963,M09,68174.0
1963,M10,68294.0
1963,M11,68267.0
1963,M12,68213.0
1964,M01,68327.0
