year,period,value
2001,M01,1.7
2001,M02,1.4
2001,M03,1.6
2001,M04,1.4
2001,M05,1.5
2001,M06,1.5
2001,M07,1.5
2001,M08,1.5
2001,M09,1.6
2001,M10,1.8
2001,M11,1.7
2001,M12,1.5
2002,M01,1.5
2002,M02,1.5
2002,M03,1.4
2002,M04,1.5
2002,M05,1.5
2002,M06,1.5
2002,M07,1.6
2002,M08,1.5
2002,M09,1.5
2002,M10,1.5
2002,M11,1.5
2002,M12,1.5
2003,M01,1.6
2003,M02,1.5
2003,M03,1.5
2003,M04,1.5
2003,M05,1.6
2003,M06,1.6
2003,M07,1.6
2003,M08,1.7
2003,M09,1.5
2003,M10,1.5
2003,M11,1.5
2003,M12,1.5
2004,M01,1.6
2004,M02,1.5
2004,M03,1.6
2004,M04,1.5
2004,M05,1.5
2004,M06,1.4
2004,M07,1.4
2004,M08,1.5
2004,M09,1.5
2004,M10,1.4
2004,M11,1.5
2004,M12,1.5
2005,M01,1.5
2005,M02,1.6
2005,M03,1.6
2005,M04,1.5
2005,M05,1.5
2005,M06,1.5
2005,M07,1.4
2005,M08,1.4
2005,M09,1.5
2005,M10,1.4
2005,M11,1.3
2005,M12,1.4
2006,M01,1.3
2006,M02,1.4
2006,M03,1.4
2006,M04,1.4
2006,M05,1.5
2006,M06,1.3
2006,M07,1.4
2006,M08,1.3
2006,M09,1.3
2006,M10,1.4
2006,M11,1.4
2006,M12,1.3
2007,M01,1.4
2007,M02,1.3
2007,M03,1.4
2007,M04,1.5
2007,M05,1.4
2007,M06,1.3
2007,M07,1.4
2007,M08,1.5
2007,M09,1.6
2007,M10,1.4
2007,M11,1.4
2007,M12,1.4
2008,M01,1.4
2008,M02,1.4
2008,M03,1.4
2008,M04,1.4
2008,M05,1.4
2008,M06,1.6
2008,M07,1.5
2008,M08,1.6
2008,M09,1.5
2008,M10,1.7
2008,M11,1.7
2008,M12,1.8
2009,M01,1.9
2009,M02,1.9
2009,M03,1.9
2009,M04,2.0
2009,M05,1.7
2009,M06,1.7
2009,M07,1.7
2009,M08,1.6
2009,M09,1.7
2009,M10,1.6
2009,M11,1.5
2009,M12,1.6
2010,M01,1.4
2010,M02,1.4
2010,M03,1.5
2010,M04,1.3
2010,M05,1.3
2010,M06,1.6
2010,M07,1.7
2010,M08,1.4
2010,M09,1.4
2010,M10,1.3
2010,M11,1.4
2010,M12,1.4
2011,M01,1.4
2011,M02,1.3
2011,M03,1.4
2011,M04,1.4
2011,M05,1.4
2011,M06,1.5
2011,M07,1.4
2011,M08,1.4
2011,M09,1.4
2011,M10,1.4
2011,M11,1.4
2011,M12,1.4
2012,M01,1.3
2012,M02,1.4
2012,M03,1.3
2012,M04,1.4
2012,M05,1.5
2012,M06,1.4
2012,M07,1.3
2012,M08,1.4
2012,M09,1.3
2012,M10,1.4
2012,M11,1.4
2012,M12,1.3
2013,M01,1.2
2013,M02,1.2
2013,M03,1.3
2013,M04,1.3
2013,M05,1.3
2013,M06,1.3
2013,M07,1.3
2013,M08,1.3
2013,M09,1.4
2013,M10,1.2
2013,M11,1.2
2013,M12,1.3
2014,M01,1.3
2014,M02,1.3
2014,M03,1.2
2014,M04,1.3
2014,M05,1.2
2014,M06,1.3
2014,M07,1.3
2014,M08,1.2
2014,M09,1.2
2014,M10,1.3
2014,M11,1.2
2014,M12,1.3
2015,M01,1.3
2015,M02,1.2
2015,M03,1.4
2015,M04,1.3
2015,M05,1.2
2015,M06,1.3
