year,period,value
1955,M05,2063.0
1955,M06,1982.0
1955,M07,2123.0
1955,M08,2203.0
1955,M09,2133.0
1955,M10,2093.0
1955,M11,2199.0
1955,M12,2149.0
1956,M01,2149.0
1956,M02,2087.0
1956,M03,1980.0
1956,M04,2051.0
1956,M05,2194.0
1956,M06,2331.0
1956,M07,2287.0
1956,M08,2353.0
1956,M09,2399.0
1956,M10,2417.0
1956,M11,2414.0
1956,M12,2306.0
1957,M01,2283.0
1957,M02,2426.0
1957,M03,2435.0
1957,M04,2283.0
1957,M05,2377.0
1957,M06,2476.0
1957,M07,2449.0
1957,M08,2440.0
1957,M09,2484.0
1957,M10,2641.0
1957,M11,2643.0
1957,M12,2712.0
1958,M01,3291.0
1958,M02,3437.0
1958,M03,3972.0
1958,M04,3743.0
1958,M05,3602.0
1958,M06,3340.0
1958,M07,2955.0
1958,M08,3178.0
1958,M09,3166.0
1958,M10,2969.0
1958,M11,2805.0
1958,M12,2825.0
1959,M01,2749.0
1959,M02,2515.0
1959,M03,2846.0
1959,M04,2592.0
1959,M05,2353.0
1959,M06,2543.0
1959,M07,2668.0
1959,M08,2599.0
1959,M09,2507.0
1959,M10,2730.0
1959,M11,2799.0
1959,M12,2734.0
1960,M01,2507.0
1960,M02,2565.0
1960,M03,2405.0
1960,M04,2769.0
1960,M05,2733.0
1960,M06,2904.0
1960,M07,2830.0
1960,M08,2933.0
1960,M09,3071.0
1960,M10,3069.0
1960,M11,3119.0
1960,M12,3305.0
1961,M01,3428.0
1961,M02,3561.0
1961,M03,3325.0
1961,M04,3295.0
1961,M05,3269.0
1961,M06,3151.0
1961,M07,3035.0
1961,M08,3152.0
1961,M09,2976.0
1961,M10,2913.0
1961,M11,2875.0
1961,M12,2645.0
1962,M01,2392.0
1962,M02,2631.0
1962,M03,2783.0
1962,M04,2596.0
1962,M05,2756.0
1962,M06,2683.0
1962,M07,2759.0
1962,M08,2626.0
1962,M09,2675.0
1962,M10,2704.0
1962,M11,2714.0
1962,M12,2575.0
1963,M01,2613.0
1963,M02,2560.0
1963,M03,2645.0
1963,M04,2644.0
1963,M05,2571.0
1963,M06,2627.0
1963,M07,2482.0
1963,M08,2740.0
1963,M09,2723.0
1963,M10,2647.0
1963,M11,2623.0
1963,M12,2580.0
1964,M01,2428.0
1964,M02,2567.0
1964,M03,2467.0
1964,M04,2562.0
1964,M05,2539.0
1964,M06,2484.0
1964,M07,2369.0
1964,M08,2369.0
1964,M09,2455.0
1964,M10,2435.0
1964,M11,2367.0
1964,M12,2462.0
1965,M01,2383.0
1965,M02,2304.0
1965,M03,2296.0
1965,M04,2230.0
1965,M05,2258.0
1965,M06,2170.0
1965,M07,2289.0
1965,M08,2259.0
1965,M09,2019.0
1965,M10,2168.0
1965,M11,2077.0
1965,M12,2037.0
1966,M01,2081.0
1966,M02,1884.0
1966,M03,1905.0
1966,M04,1908.0
1966,M05,1923.0
1966,M06,2185.0
1966,M07,2128.0
1966,M08,1942.0
1966,M09,1856.0
1966,M10,1857.0
1966,M11,1738.0
1966,M12,2007.0
1967,M01,2182.0
1967,M02,2322.0
1967,M03,2308.0
1967,M04,2374.0
1967,M05,1835.0
1967,M06,2095.0
1967,M07,2062.0
1967,M08,2069.0
1967,M09,2233.0
1967,M10,2180.0
1967,M11,2227.0
1967,M12,2124.0
1968,M01,1873.0
1968,M02,2153.0
1968,M03,1983.0
1968,M04,1943.0
1968,M05,1933.0
1968,M06,2052.0
1968,M07,1950.0
1968,M08,1962.0
1968,M09,1946.0
1968,M10,1883.0
1968,M11,1927.0
1968,M12,1988.0
1969,M01,1914.0
1969,M02,1952.0
1969,M03,2044.0
1969,M04,1951.0
1969,M05,1961.0
1969,M06,2092.0
1969,M07,2004.0
1969,M08,2142.0
1969,M09,2190.0
1969,M10,2165.0
1969,M11,2084.0
1969,M12,2122.0
1970,M01,2182.0
1970,M02,2186.0
1970,M03,2236.0
1970,M04,2631.0
1970,M05,2487.0
1970,M06,2353.0
1970,M07,2493.0
1970,M08,2438.0
1970,M09,2425.0
1970,M10,2612.0
1970,M11,2581.0
1970,M12,2760.0
1971,M01,2756.0
1971,M02,2732.0
1971,M03,2747.0
1971,M04,2806.0
1971,M05,2720.0
1971,M06,2431.0
1971,M07,2701.0
1971,M08,2676.0
1971,M09,2636.0
1971,M10,2726.0
1971,M11,2819.0
1971,M12,2606.0
1972,M01,2669.0
1972,M02,2585.0
1972,M03,2637.0
1972,M04,2728.0
1972,M05,2565.0
1972,M06,2805.0
1972,M07,2799.0
1972,M08,2831.0
1972,M09,2678.0
1972,M10,2562.0
1972,M11,2407.0
1972,M12,2366.0
1973,M01,2170.0
1973,M02,2393.0
1973,M03,2369.0
1973,M04,2338.0
1973,M05,2392.0
1973,M06,2744.0
1973,M07,2703.0
1973,M08,2609.0
1973,M09,2644.0
1973,M10,2655.0
1973,M11,2687.0
1973,M12,2846.0
1974,M01,2748.0
1974,M02,2963.0
1974,M03,2720.0
1974,M04,2629.0
1974,M05,2872.0
1974,M06,2784.0
1974,M07,2821.0
1974,M08,2993.0
1974,M09,3184.0
1974,M10,3188.0
1974,M11,3484.0
1974,M12,3583.0
1975,M01,4133.0
1975,M02,3994.0
1975,M03,4087.0
1975,M04,4179.0
1975,M05,3972.0
1975,M06,3774.0
1975,M07,3669.0
1975,M08,3650.0
1975,M09,3566.0
1975,M10,3600.0
1975,M11,3554.0
1975,M12,3544.0
1976,M01,3776.0
1976,M02,3536.0
1976,M03,3507.0
1976,M04,3515.0
1976,M05,3572.0
1976,M06,3462.0
1976,M07,3497.0
1976,M08,3542.0
1976,M09,3670.0
1976,M10,3781.0
1976,M11,3768.0
1976,M12,3728.0
1977,M01,3580.0
1977,M02,3883.0
1977,M03,3596.0
1977,M04,3407.0
1977,M05,3555.0
1977,M06,3648.0
1977,M07,3726.0
1977,M08,3568.0
1977,M09,3610.0
1977,M10,3577.0
1977,M11,3577.0
1977,M12,3501.0
1978,M01,3333.0
1978,M02,3495.0
1978,M03,3524.0
1978,M04,3588.0
1978,M05,3533.0
1978,M06,3669.0
1978,M07,3563.0
1978,M08,3603.0
1978,M09,3566.0
1978,M10,3510.0
1978,M11,3428.0
1978,M12,3309.0
1979,M01,3451.0
1979,M02,3486.0
1979,M03,3494.0
1979,M04,3535.0
1979,M05,3532.0
1979,M06,3701.0
1979,M07,3556.0
1979,M08,3627.0
1979,M09,3495.0
1979,M10,3530.0
1979,M11,3692.0
1979,M12,3787.0
1980,M01,3736.0
1980,M02,3765.0
1980,M03,3730.0
1980,M04,4163.0
1980,M05,4700.0
1980,M06,4553.0
1980,M07,4520.0
1980,M08,4619.0
1980,M09,4512.0
1980,M10,4505.0
1980,M11,4497.0
1980,M12,4449.0
1981,M01,4626.0
1981,M02,4493.0
1981,M03,4474.0
1981,M04,4424.0
1981,M05,4532.0
1981,M06,4434.0
1981,M07,4725.0
1981,M08,4713.0
1981,M09,4809.0
1981,M10,5332.0
1981,M11,5204.0
1981,M12,5536.0
1982,M01,5067.0
1982,M02,5737.0
1982,M03,5938.0
1982,M04,6049.0
1982,M05,6112.0
1982,M06,5997.0
1982,M07,6084.0
1982,M08,6221.0
1982,M09,6705.0
1982,M10,6857.0
1982,M11,6704.0
1982,M12,6657.0
1983,M01,6733.0
1983,M02,6570.0
1983,M03,6448.0
1983,M04,6300.0
1983,M05,6229.0
1983,M06,6240.0
1983,M07,6182.0
1983,M08,6248.0
1983,M09,6196.0
1983,M10,6009.0
1983,M11,6141.0
1983,M12,5882.0
1984,M01,5934.0
1984,M02,5904.0
1984,M03,5665.0
1984,M04,5761.0
1984,M05,5566.0
1984,M06,5884.0
1984,M07,5744.0
1984,M08,5589.0
1984,M09,5728.0
1984,M10,5710.0
1984,M11,5626.0
1984,M12,5797.0
1985,M01,5629.0
1985,M02,5273.0
1985,M03,5718.0
1985,M04,5629.0
1985,M05,5828.0
1985,M06,5618.0
1985,M07,5583.0
1985,M08,5750.0
1985,M09,5602.0
1985,M10,5459.0
1985,M11,5494.0
1985,M12,5512.0
1986,M01,5541.0
1986,M02,5258.0
1986,M03,5555.0
1986,M04,5825.0
1986,M05,5908.0
1986,M06,5628.0
1986,M07,5415.0
1986,M08,5521.0
1986,M09,5615.0
1986,M10,5769.0
1986,M11,5512.0
1986,M12,5613.0
1987,M01,5482.0
1987,M02,5569.0
1987,M03,5436.0
1987,M04,5350.0
1987,M05,5386.0
1987,M06,5242.0
1987,M07,5493.0
1987,M08,5334.0
1987,M09,5309.0
1987,M10,5455.0
1987,M11,5527.0
1987,M12,5279.0
1988,M01,5297.0
1988,M02,5316.0
1988,M03,5278.0
1988,M04,5137.0
1988,M05,4917.0
1988,M06,5294.0
1988,M07,5460.0
1988,M08,5259.0
1988,M09,5085.0
1988,M10,5005.0
1988,M11,5033.0
1988,M12,5369.0
1989,M01,5055.0
1989,M02,4902.0
1989,M03,4871.0
1989,M04,5048.0
1989,M05,4897.0
1989,M06,4969.0
1989,M07,4924.0
1989,M08,4888.0
1989,M09,4825.0
1989,M10,4743.0
1989,M11,4800.0
1989,M12,4817.0
1990,M01,4856.0
1990,M02,4809.0
1990,M03,4856.0
1990,M04,4941.0
1990,M05,4988.0
1990,M06,5364.0
1990,M07,5276.0
1990,M08,5365.0
1990,M09,5364.0
1990,M10,5474.0
1990,M11,5492.0
1990,M12,5699.0
1991,M01,5465.0
1991,M02,5971.0
1991,M03,6062.0
1991,M04,6263.0
1991,M05,6052.0
1991,M06,6106.0
1991,M07,6151.0
1991,M08,6180.0
1991,M09,6437.0
1991,M10,6385.0
1991,M11,6495.0
1991,M12,6455.0
1992,M01,6593.0
1992,M02,6551.0
1992,M03,6531.0
1992,M04,6492.0
1992,M05,6550.0
1992,M06,6462.0
1992,M07,6509.0
1992,M08,6485.0
1992,M09,6410.0
1992,M10,6575.0
1992,M11,6628.0
1992,M12,6458.0
1993,M01,6196.0
1993,M02,6627.0
1993,M03,6318.0
1993,M04,6586.0
1993,M05,6543.0
1993,M06,6635.0
1993,M07,6700.0
1993,M08,6681.0
1993,M09,6575.0
1993,M10,6376.0
1993,M11,6250.0
1993,M12,6291.0
1994,M01,4947.0
1994,M02,4677.0
1994,M03,4890.0
1994,M04,4752.0
1994,M05,4836.0
1994,M06,4816.0
1994,M07,4505.0
1994,M08,4359.0
1994,M09,4332.0
1994,M10,4472.0
1994,M11,4468.0
1994,M12,4440.0
1995,M01,4550.0
1995,M02,4397.0
1995,M03,4451.0
1995,M04,4428.0
1995,M05,4513.0
1995,M06,4489.0
1995,M07,4436.0
1995,M08,4513.0
1995,M09,4580.0
1995,M10,4462.0
1995,M11,4489.0
1995,M12,4434.0
1996,M01,4022.0
1996,M02,4420.0
1996,M03,4429.0
1996,M04,4464.0
1996,M05,4327.0
1996,M06,4312.0
1996,M07,4358.0
1996,M08,4391.0
1996,M09,4382.0
1996,M10,4372.0
1996,M11,4025.0
1996,M12,4365.0
1997,M01,4189.0
1997,M02,4242.0
1997,M03,4112.0
