year,period,value
1983,A01,20.1
1984,A01,18.8
1985,A01,18.0
1986,A01,17.5
1987,A01,17.0
1988,A01,16.8
1989,A01,16.4
1990,A01,16.0
1991,A01,16.0
1992,A01,15.7
1993,A01,15.7
1994,A01,15.5
1995,A01,14.9
1996,A01,14.5
1997,A01,14.1
1998,A01,13.9
1999,A01,13.9
2000,A01,13.4
2001,A01,13.3
2002,A01,13.3
2003,A01,12.9
2004,A01,12.5
2005,A01,12.5
2006,A01,12.0
2007,A01,12.1
2008,A01,12.4
2009,A01,12.3
2010,A01,11.9
2011,A01,11.8
2012,A01,11.3
2013,A01,11.3
2014,A01,11.1
2015,A01,11.1
2016,A01,10.7
2017,A01,10.7
2018,A01,10.5
2019,A01,10.3
2020,A01,10.8
2021,A01,10.3
2022,A01,10.1
2023,A01,10.0
2024,A01,9.9
2025,A01,10.0
